Name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
99 Cent Fresh Pizza,473 Lexington Ave,New York,10017,US,40.7536996,-73.9741132,1,4,118,5.666666667,9,51,5.7625,8,46.1,0,0,0,4.9,1,4.9
Nino's 46,39 W 46th St,New York,10036,US,40.7569012,-73.980518,2,4,1055,5.6,2,11.2,0,0,0,4.3,1,4.3,6.9,1,6.9
La Pizza Fresca Ristorante,31 E 20th St,New York,10003,US,40.739047,-73.988895,2,3,143,7.1,1,7.1,0,0,0,0,0,0,7.1,1,7.1
La Gusto Pizza,382 8th Ave,New York,10001,US,NA,NA,1,3.5,28,4.075,4,16.3,4.366666667,3,13.1,0,0,0,3.2,1,3.2
Cheesy Pizza,2640 Broadway,New York,10025,US,40.7971889,-73.9695729,1,3,95,6.12,5,30.6,6.125,4,24.5,0,0,0,6.1,1,6.1
Sal &amp; Carmine's Pizza,2671 Broadway,New York,10025,US,40.7983829,-73.969439,1,4,324,7.435294118,17,126.4,7.45,16,119.2,0,0,0,7.2,1,7.2
MAMA'S TOO!,2750 Broadway,New York,10025,US,40.8008324,-73.9675901,2,3.5,186,7.314285714,14,102.4,7.353846154,13,95.6,0,0,0,6.8,1,6.8
Bond 45,221 W 46th St,New York,10036,US,40.7593741,-73.9861745,2,3.5,600,6.6,6,39.6,6.725,4,26.9,6.2,1,6.2,6.5,1,6.5
Patsy's Pizzeria,2287 1st Ave,New York,10035,US,40.7971469,-73.934857,2,4,759,8.448648649,37,312.6,8.444444444,36,304,0,0,0,8.6,1,8.6
LA Traviata Pizzeria,101 W 68th St,New York,10023,US,40.7750717,-73.980868,1,3.5,157,5.725,4,22.9,6.25,2,12.5,5,1,5,5.4,1,5.4
Percy's Pizza,190 Bleecker St,New York,10012,US,40.7290373,-74.0015817,1,4,211,5.933333333,6,35.6,6.375,4,25.5,4,1,4,6.1,1,6.1
Little Italy Pizza,55 W 45th St,New York,10036,US,40.7564841,-73.9814704,1,4,433,5.807692308,13,75.5,5.941666667,12,71.3,0,0,0,4.2,1,4.2
Re Sette,7 W 45th St,New York,10036,US,40.7559546,-73.9800255,3,3.5,319,7.5,2,15,0,0,0,7.9,1,7.9,7.1,1,7.1
B &amp; W Deli &amp; Pizzeria,373 W 34th St,New York,10001,US,40.7534553,-73.996024,1,3,30,5.6,4,22.4,5.4,3,16.2,0,0,0,6.2,1,6.2
Mediterraneo Restaurant,1260 2nd Ave,New York,10065,US,40.7650144,-73.9608725,2,3,265,5.133333333,3,15.4,3,1,3,6.6,1,6.6,5.8,1,5.8
La Bellezza Pizza,315 Broadway,New York,10007,US,40.7157456,-74.0053843,2,3.5,13,7.3,4,29.2,7.366666667,3,22.1,0,0,0,7.1,1,7.1
Tre Sorelle,61 Reade St,New York,10007,US,40.714805,-74.006577,2,3.5,136,6.9,4,27.6,7.45,2,14.9,6,1,6,6.7,1,6.7
Rubby's Pizzeria,57th St &amp; 10th Ave,New York,10019,US,40.767267,-73.9841435,1,3.5,13,1.2,1,1.2,0,0,0,0,0,0,1.2,1,1.2
Justino's Pizzeria,881 10th Ave,New York,10019,US,40.7695645,-73.9886224,1,3.5,197,4.92,5,24.6,5.3,4,21.2,0,0,0,3.4,1,3.4
Casabianca Pizzeria,503 W 57th St,New York,10019,US,40.7694782,-73.9888845,1,3,48,7.122222222,9,64.1,7.1625,8,57.3,0,0,0,6.8,1,6.8
Sottosuolo NYC,122 E 27th St,New York,10016,US,40.7421252,-73.9836267,2,4,37,6.3,1,6.3,0,0,0,0,0,0,6.3,1,6.3
Mariella Pizza,965 Lexington Ave,New York,10021,US,40.7691562,-73.9628311,1,3.5,101,6.883333333,6,41.3,6.88,5,34.4,0,0,0,6.9,1,6.9
Bella Blu,967 Lexington Ave,New York,10021,US,40.7692221,-73.9628197,3,3.5,212,7.8,2,15.6,8.4,1,8.4,0,0,0,7.2,1,7.2
John &amp; Tony's,1097 1st Ave,New York,10065,US,40.7604259,-73.9616128,1,3,86,6.433333333,3,19.3,6.3,2,12.6,0,0,0,6.7,1,6.7
Il Forno Pizza,343 2nd Ave,New York,10003,US,40.736006,-73.9825421,1,3,49,6.266666667,3,18.8,6.25,2,12.5,0,0,0,6.3,1,6.3
Scarr's Pizza,22 Orchard St,New York,10002,US,40.7153411,-73.991428,1,4,210,7.915789474,19,150.4,7.927777778,18,142.7,0,0,0,7.7,1,7.7
Double Zero,65 2nd Ave,New York,10003,US,40.726083,-73.989775,2,4,395,5.25,6,31.5,4.6,5,23,0,0,0,8.5,1,8.5
Buca di Beppo Italian Restaurant,1540 Broadway,New York,10036,US,40.7580741,-73.9847908,2,3.5,355,4.1,2,8.2,0,0,0,7,1,7,1.2,1,1.2
Picasso Pizza,303 S End Ave,New York,10280,US,40.7103852,-74.0164692,1,3,109,4.74,10,47.4,4.4,8,35.2,8,1,8,4.2,1,4.2
Pomodoro Pizza,14 Rector St,New York,10006,US,40.7080776,-74.0136934,1,3.5,10,5.6,4,22.4,5.1,2,10.2,8,1,8,4.2,1,4.2
SIM PIZZA,90-92 Gansevoort St,New York,10014,US,40.7392955,-74.0087429,1,4.5,78,7.35,2,14.7,7.9,1,7.9,0,0,0,6.8,1,6.8
Steve's Pizza,110 Trinity Pl,New York,10006,US,40.7095045,-74.0120408,1,3.5,162,3.7375,8,29.9,3.957142857,7,27.7,0,0,0,2.2,1,2.2
The Woodstock,446 W 14th St,New York,10014,US,40.7415865,-74.0075955,2,3.5,70,7.266666667,3,21.8,7.2,2,14.4,0,0,0,7.4,1,7.4
The Grotto Pizzeria &amp; Ristorante,69 New St,New York,10004,US,40.63597,-74.1312791,1,3.5,129,5.42,5,27.1,5.95,4,23.8,0,0,0,3.3,1,3.3
Georgio Pizzeria,20 Beaver St,New York,10004,US,40.7048308,-74.0123163,1,3,114,5.9,8,47.2,5.828571429,7,40.8,0,0,0,6.4,1,6.4
Pranzo Pizza &amp; Pasta,34 Water St,New York,10004,US,40.7033479,-74.0108472,1,4,102,6.62,5,33.1,6.8,4,27.2,0,0,0,5.9,1,5.9
Justino's Pizzeria,77 Pearl St,New York,10004,US,40.7040298,-74.01048,1,3.5,112,7.632258065,31,236.6,7.64,30,229.2,0,0,0,7.4,1,7.4
Adrienne's Pizzabar,54 Stone St,New York,10004,US,40.7042482,-74.0101127,2,4,1517,7.033333333,12,84.4,7.236363636,11,79.6,0,0,0,4.8,1,4.8
Open Market,15 William St,New York,10005,US,40.705371,-74.0100717,2,2.5,54,0.1,1,0.1,0,0,0,0,0,0,0.1,1,0.1
Da Vinci Pizza,46 Water St,New York,10041,US,40.7036197,-74.0099715,1,3,18,4.15,2,8.3,5.8,1,5.8,0,0,0,2.5,1,2.5
Cucina Bene,41 Exchange Pl,New York,10005,US,40.705987,-74.010097,1,3.5,91,6.727777778,18,121.1,6.705882353,17,114,0,0,0,7.1,1,7.1
Majestic Pizza,8 Cortlandt St,New York,10007,US,40.7100713,-74.0103149,1,3.5,127,7.062264151,53,374.3,7.003921569,51,357.2,10,1,10,7.1,1,7.1
Underground Pizza,3 Hanover Sq,New York,10004,US,40.7049944,-74.0096537,1,4,261,7.028571429,7,49.2,7.216666667,6,43.3,0,0,0,5.9,1,5.9
Neapolitan Express,40 Wall St,New York,10005,US,40.7068657,-74.0097069,2,3.5,168,7.425,16,118.8,7.38,15,110.7,0,0,0,8.1,1,8.1
Stage Door Pizza,26 Vesey St,New York,10007,US,40.712115,-74.0097029,1,4,225,6.8125,16,109,6.773333333,15,101.6,0,0,0,7.4,1,7.4
Friendly Gourmet Pizza,59 Nassau St,New York,10038,US,40.7092384,-74.0088627,1,3.5,52,6.23,7,43.61,6.5,5,32.5,6.31,1,6.31,4.8,1,4.8
Dona Bella Pizza,154 Church St,New York,10007,US,40.7151451,-74.0079738,1,3,177,6.830769231,13,88.8,6.8,12,81.6,0,0,0,7.2,1,7.2
Harry's Italian,2 Gold St,New York,10038,US,40.7074723,-74.0068304,2,3.5,542,7.8,9,70.2,7.771428571,7,54.4,8.1,1,8.1,7.7,1,7.7
Adoro Lei,287 Hudson St,New York,10013,US,40.7256037,-74.0079092,2,4.5,257,7.733333333,3,23.2,7.7,2,15.4,0,0,0,7.8,1,7.8
Girello,11 Varick St,New York,10013,US,40.71961,-74.0070307,2,3.5,34,6.9,1,6.9,0,0,0,0,0,0,6.9,1,6.9
Little Italy Pizza,50 Fulton St,New York,10038,US,40.7081961,-74.0047955,1,3.5,78,6.4,16,102.4,6.364285714,14,89.1,7,1,7,6.3,1,6.3
Il Mattone West Village,450 Hudson St,New York,10014,US,40.7312196,-74.0065106,0,5,25,7.544444444,9,67.9,7.5,8,60,0,0,0,7.9,1,7.9
5 Boroughs Pizza,386 Canal St,New York,10013,US,40.721287,-74.0049711,1,3.5,25,4.325,4,17.3,4.633333333,3,13.9,0,0,0,3.4,1,3.4
Wild,535 Hudson St,New York,10014,US,40.734617,-74.0063544,2,3.5,358,4.1,1,4.1,0,0,0,0,0,0,4.1,1,4.1
Rossetti's Pizza,114 6th Ave,New York,10013,US,40.7237259,-74.0044625,1,2.5,28,6.2,1,6.2,0,0,0,0,0,0,6.2,1,6.2
Serafina Meatpacking,7 Ninth Ave,New York,10014,US,40.739633,-74.006657,2,3,263,7.6,2,15.2,7.4,1,7.4,0,0,0,7.8,1,7.8
Phil's Pizza,226 Varick St,New York,10014,US,40.7290939,-74.005017,1,4,38,7.45,4,29.8,7.25,2,14.5,7.6,1,7.6,7.7,1,7.7
Saluggi's,325 Church St,New York,10013,US,40.7200998,-74.0035903,2,4,541,7.985185185,27,215.6,7.976923077,26,207.4,0,0,0,8.2,1,8.2
Artichoke Basille's Pizza,114 10th Ave,New York,10011,US,40.7440765,-74.0065507,2,3.5,1454,7.878787879,33,260,7.878125,32,252.1,0,0,0,7.9,1,7.9
Brunetti Pizza,626 Hudson St,New York,10014,US,40.7382727,-74.0053786,2,4,272,7.754545455,11,85.3,7.71,10,77.1,0,0,0,8.2,1,8.2
Gaslight Pizzeria,39 9th Ave,New York,10014,US,40.7407714,-74.0058204,2,2.5,56,4.9,1,4.9,0,0,0,0,0,0,4.9,1,4.9
Emily - West Village,35 Downing St,New York,10014,US,40.7293862,-74.0037767,2,4,424,7.66,10,76.6,7.711111111,9,69.4,0,0,0,7.2,1,7.2
Starbucks Reserve Roastery,61 9th Ave,New York,10011,US,40.7416944,-74.0056597,2,4,153,6.8,1,6.8,0,0,0,0,0,0,6.8,1,6.8
Black Square Pizza,44 9th Ave,New York,10011,US,40.7410115,-74.0048657,2,3,29,6.766666667,3,20.3,7.05,2,14.1,0,0,0,6.2,1,6.2
Bleecker Street Pizza,69 7th Ave S,New York,10014,US,40.7322097,-74.003375,1,4,2000,7.319148936,47,344,7.32826087,46,337.1,0,0,0,6.9,1,6.9
Enzo Bruni La Pizza Gourmet,353 W 14th St,New York,10014,US,40.7409959,-74.0046301,1,4,10,7.985714286,7,55.9,8.05,6,48.3,0,0,0,7.6,1,7.6
Famous Ben's Pizza,177 Spring St,New York,10012,US,40.7249388,-74.0024003,1,3,321,7.786206897,29,225.8,7.775,28,217.7,0,0,0,8.1,1,8.1
John's of Bleecker Street,278 Bleecker St,New York,10014,US,40.7316187,-74.0034468,2,4,1754,8.883098592,568,5045.6,8.882363316,567,5036.3,0,0,0,9.3,1,9.3
Filaga Pizzeria,75 9th Ave,New York,10011,US,40.7424509,-74.0059581,1,3.5,63,7.542857143,7,52.8,7.566666667,6,45.4,0,0,0,7.4,1,7.4
Emmett's,50 Macdougal St,New York,10012,US,40.7273153,-74.0024806,2,4,435,7.885714286,7,55.2,7.9,6,47.4,0,0,0,7.8,1,7.8
Numero 28 Pizzeria - West Village,28 Carmine St,New York,10014,US,40.7300735,-74.0027807,2,4,441,8.6,3,25.8,8.8,2,17.6,0,0,0,8.2,1,8.2
Kest Pizza &amp; Vino,271 Bleecker St,New York,10014,US,40.7315345,-74.0029626,2,4,1333,7.211111111,9,64.9,7.142857143,7,50,8.5,1,8.5,6.4,1,6.4
Jekyll &amp; Hyde,91 7th Ave S,New York,10014,US,40.7327781,-74.0029512,2,2.5,665,1.9,1,1.9,0,0,0,0,0,0,1.9,1,1.9
Intrepid Summer Movie Series,Pier 86 W 46th St 12th Ave,New York,10036,US,40.7645266,-73.9996076,0,3.5,4,2.7,1,2.7,0,0,0,0,0,0,2.7,1,2.7
42nd Street Pizza,647 W 42nd St,New York,10036,US,40.7619108,-74.0001507,2,2.5,76,5.4,2,10.8,0,0,0,5.4,1,5.4,5.4,1,5.4
Corner Slice,600 11th Ave,New York,10036,US,40.7623377,-73.9967579,1,4,74,7.45,12,89.4,7.472727273,11,82.2,0,0,0,7.2,1,7.2
Alphonso's Pizzeria &amp; Trattoria,525 Grand St,New York,10002,US,40.7142926,-73.9817288,1,4,112,5,3,15,4.4,2,8.8,0,0,0,6.2,1,6.2
Canal Pizza,89 Canal St,New York,10002,US,40.7155652,-73.9934694,1,4,9,5.815,4,23.26,7.4,2,14.8,6.76,1,6.76,1.7,1,1.7
Melani Pizzeria,170 Rivington St,New York,10002,US,40.719207,-73.9845869,1,4,58,7.175,4,28.7,5.95,2,11.9,10,1,10,6.8,1,6.8
Speedy Romeo,63 Clinton St,New York,10002,US,40.719503,-73.985142,2,4,256,7.616666667,12,91.4,7.554545455,11,83.1,0,0,0,8.3,1,8.3
Rizzo's Fine Pizza,17 Clinton St,New York,10002,US,40.72084,-73.98434,2,4.5,669,8.13125,32,260.2,8.116129032,31,251.6,0,0,0,8.6,1,8.6
Stanton Pizza,127 Stanton St,New York,10002,US,40.7207424,-73.9866989,1,4,188,3.233333333,3,9.7,3.65,2,7.3,0,0,0,2.4,1,2.4
Solo Pizza,27 Avenue B,New York,10009,US,40.7222599,-73.9829462,1,4,175,5.94,5,29.7,5.9,4,23.6,0,0,0,6.1,1,6.1
La Margarita Pizza,168 Ludlow St,New York,10002,US,40.721395,-73.9874389,1,4.5,259,7.528571429,28,210.8,7.511111111,27,202.8,0,0,0,8,1,8
Luna Ristorante,115 Mulberry St,New York,10013,US,40.7176916,-73.9984062,2,3,132,6.82,5,34.1,7.075,4,28.3,0,0,0,5.8,1,5.8
Rosario's Pizza,173 Orchard St,New York,10002,US,40.7216286,-73.9886492,1,3.5,261,6.058333333,12,72.7,6.145454545,11,67.6,0,0,0,5.1,1,5.1
F &amp; M Slice Pizza,153 Ave C,New York,10009,US,40.7257098,-73.9779639,1,3,12,0.2,1,0.2,0,0,0,0,0,0,0.2,1,0.2
Da Gennaro,129 Mulberry St,New York,10013,US,40.7183603,-73.9979471,2,4,771,6.525,4,26.1,6.633333333,3,19.9,0,0,0,6.2,1,6.2
Margherita NYC,197 Grand St,New York,10013,US,40.7190658,-73.9969894,2,4,269,8.04,5,40.2,8.2,4,32.8,0,0,0,7.4,1,7.4
Il Piccolo Bufalo,141 Mulberry St,New York,10013,US,40.7188558,-73.9979012,2,3.5,220,6.725,4,26.9,5.25,2,10.5,9,1,9,7.4,1,7.4
Da Nico Ristorante,164 Mulberry St,New York,10013,US,40.719646,-73.9969371,2,3.5,649,6.92,5,34.6,7.2,4,28.8,0,0,0,5.8,1,5.8
Little Gio's Pizza,26 1st Ave,New York,10009,US,40.7236857,-73.9877463,1,3.5,24,4.655555556,9,41.9,4.5,8,36,0,0,0,5.9,1,5.9
Lil' Frankie's,19 1st Ave,New York,10003,US,40.7236056,-73.9884144,2,4,977,7.853333333,15,117.8,7.807142857,14,109.3,0,0,0,8.5,1,8.5
Sal's Little Italy,384 Broome St,New York,10013,US,40.7206081,-73.9965332,2,3.5,276,7.75,30,232.5,7.737931034,29,224.4,0,0,0,8.1,1,8.1
Ciao Vineria con Cucina,178 Mulberry St,New York,10012,US,40.7206548,-73.9966534,2,3,166,7.7,1,7.7,0,0,0,0,0,0,7.7,1,7.7
Gnocco,337 E 10th St,New York,10009,US,40.7271342,-73.9802714,2,3.5,410,7.866666667,3,23.6,8.1,2,16.2,0,0,0,7.4,1,7.4
Pasquale Jones,187 Mulberry St,New York,10012,US,40.7210784,-73.9967554,3,3.5,193,8.114285714,7,56.8,8.25,6,49.5,0,0,0,7.3,1,7.3
Lombardi's Pizza,32 Spring St,New York,10012,US,40.7216368,-73.9957205,2,4,5797,7.673529412,34,260.9,7.718181818,33,254.7,0,0,0,6.2,1,6.2
Champion Pizza,17 Cleveland Pl,New York,10012,US,40.7215205,-73.9970345,1,4.5,243,7.25,18,130.5,7.2,17,122.4,0,0,0,8.1,1,8.1
Pomodoro Ristorante &amp; Pizzeria,51 Spring St,New York,10012,US,40.7221166,-73.9963862,1,3.5,323,6.528571429,7,45.7,7.3,5,36.5,5,1,5,4.2,1,4.2
Emporio,231 Mott St,New York,10012,US,40.7225943,-73.9952614,2,4,716,7.1,1,7.1,0,0,0,0,0,0,7.1,1,7.1
Prince Street Pizza,27 Prince St,New York,10012,US,40.7230533,-73.9945497,1,4.5,2591,8.605633803,142,1222,8.605673759,141,1213.4,0,0,0,8.6,1,8.6
Rubirosa,235 Mulberry St,New York,10012,US,NA,NA,2,4,1842,8.6875,40,347.5,8.702564103,39,339.4,0,0,0,8.1,1,8.1
Proto's Pizza,50 2nd Ave,New York,10003,US,40.7253326,-73.9898267,1,4,86,7.283333333,12,87.4,7.290909091,11,80.2,0,0,0,7.2,1,7.2
310 Bowery Bar,310 Bowery,New York,10012,US,40.7249939,-73.9927133,2,3.5,134,7.9,3,23.7,7.8,2,15.6,0,0,0,8.1,1,8.1
La Rossa,267 Lafayette St,New York,10012,US,40.7234824,-73.9964503,0,3.5,15,6.68,5,33.4,7.15,4,28.6,0,0,0,4.8,1,4.8
Stromboli Pizza,83 Saint Marks Pl,New York,10003,US,40.7278516,-73.9853674,1,3.5,206,7.57,20,151.4,7.536842105,19,143.2,0,0,0,8.2,1,8.2
Baker's Pizza,201 Avenue A,New York,10009,US,40.7294404,-73.9812861,1,4.5,175,7.290909091,11,80.2,7.29,10,72.9,0,0,0,7.3,1,7.3
East Village Pizza,145 1st Ave,New York,10003,US,40.7282177,-73.9850845,1,4,174,8.3,44,365.2,8.306976744,43,357.2,0,0,0,8,1,8
Joe &amp; Pat's Pizzeria,168 1st Ave,New York,10009,US,40.728906,-73.9840414,2,4,84,8.664150943,53,459.2,8.669230769,52,450.8,0,0,0,8.4,1,8.4
Muzzarella Pizza,221 Ave A,New York,10009,US,40.730205,-73.9807302,1,3.5,127,7.375,4,29.5,7.633333333,3,22.9,0,0,0,6.6,1,6.6
Sorbillo Pizzeria,334 Bowery,New York,10012,US,40.7260551,-73.9923001,2,4,143,7.92,5,39.6,8.125,4,32.5,0,0,0,7.1,1,7.1
Nick's Pizza,1814 2nd Ave,New York,10128,US,40.7827162,-73.9478073,2,4,489,7.7,5,38.5,8.233333333,3,24.7,7.2,1,7.2,6.6,1,6.6
Pie Pie Pizza,924 Columbus Ave,New York,10025,US,40.7989045,-73.9634659,1,4.5,68,7.4,6,44.4,7.42,5,37.1,0,0,0,7.3,1,7.3
Mama's Pizzeria,941 Amsterdam Ave,New York,10025,US,40.8004768,-73.9653026,1,3,82,6.8,2,13.6,6.7,1,6.7,0,0,0,6.9,1,6.9
PQR,1631 2nd Ave,New York,10028,US,40.7771534,-73.952629,1,4,131,6.88,10,68.8,7.025,8,56.2,6.5,1,6.5,6.1,1,6.1
Vinnie's Pizzeria,1603 2nd Ave,New York,10028,US,40.7762259,-73.9532948,1,3,104,7.135294118,17,121.3,7.16,15,107.4,6.8,1,6.8,7.1,1,7.1
Va Bene,1589 2nd Ave,New York,10028,US,40.775677,-73.9536392,3,3,73,6.4,1,6.4,0,0,0,0,0,0,6.4,1,6.4
Salvo's Pizzabar,1477 York Ave,New York,10075,US,40.7709244,-73.951134,2,4,250,7.808333333,12,93.7,7.809090909,11,85.9,0,0,0,7.8,1,7.8
La Mia Pizza,1488 1st Ave,New York,10075,US,40.771291,-73.95318,1,3,176,7.07,10,70.7,6.75,8,54,10,1,10,6.7,1,6.7
Italian Village Pizzeria,1494 1st Ave,New York,10075,US,40.7714577,-73.9529963,1,3.5,199,7.273684211,19,138.2,7.25,18,130.5,0,0,0,7.7,1,7.7
Buchetta Brick Oven Pizza,201 W 103rd St,New York,10025,US,40.7987416,-73.9673646,2,4,203,6.7,1,6.7,0,0,0,0,0,0,6.7,1,6.7
Broadway Pizza &amp; Restaurant,2709 Broadway,New York,10025,US,40.7996265,-73.9686711,1,3,57,6.6,5,33,6.7,4,26.8,0,0,0,6.2,1,6.2
Saba's Pizza,1217 Lexington Ave,New York,10128,US,40.7770858,-73.9571289,1,3.5,59,7.492592593,27,202.3,7.457692308,26,193.9,0,0,0,8.4,1,8.4
